Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,
76,Qatar,"309,753","361,673","359,697","646,026","1,456,413","1,687,640","2,229,688"
77,Saudi Arabia,"4,998,445","5,122,702","5,263,387","6,501,819","8,429,956","10,771,366","13,122,338"
78,State of Palestine,"288,332","281,767","275,202","266,617","258,032","255,507","253,735"
79,Syrian Arab Republic,"714,140","830,610","834,916","878,308","1,787,561","871,174","867,848"
80,Turkey,"1,163,686","1,216,173","1,280,963","1,319,236","1,367,034","4,346,197","5,876,829"
81,United Arab Emirates,"1,306,574","1,824,118","2,447,010","3,281,115","7,316,697","7,995,126","8,587,256"
82,Yemen,"118,863","136,515","144,940","171,871","288,394","379,882","385,628"
85,Kazakhstan,"3,619,200","3,251,968","2,874,194","3,103,027","3,334,937","3,546,060","3,705,556"
86,Kyrgyzstan,"623,083","518,338","389,824","309,399","232,065","204,382","200,260"
87,Tajikistan,"428,900","348,347","299,499","280,466","279,808","275,101","274,071"
88,Turkmenistan,"306,500","273,565","219,067","213,053","197,979","196,376","195,127"
89,Uzbekistan,"1,653,000","1,512,577","1,406,498","1,329,932","1,220,149","1,170,873","1,168,384"
91,Afghanistan,"57,686","71,522","75,917","87,300","102,246","489,749","149,762"
92,Bangladesh,"881,617","934,735","987,853","1,166,700","1,345,546","1,422,805","2,185,613"
93,Bhutan,"23,807","27,972","32,137","40,279","48,420","51,106","53,254"
94,India,"7,594,801","6,952,238","6,411,331","5,923,945","5,439,758","5,240,960","5,154,737"
95,Iran (Islamic Republic of),"4,291,601","2,937,668","2,803,805","2,568,930","2,761,561","2,726,420","2,682,214"
96,Maldives,"8,689","18,510","27,092","45,045","54,659","64,273","69,249"
97,Nepal,"429,974","690,225","717,900","679,457","578,657","509,471","490,802"
98,Pakistan,"6,208,204","3,669,308","4,181,912","3,171,132","3,941,586","3,506,520","3,257,978"
99,Sri Lanka,"41,561","40,841","40,132","39,526","38,959","39,706","40,018"
102,China,"376,361","442,198","508,034","678,947","849,861","978,046","1,030,871"
103,"China, Hong Kong SAR","2,218,473","2,443,798","2,669,122","2,721,235","2,779,950","2,838,665","2,942,254"
104,"China, Macao SAR","205,047","224,929","240,791","279,308","318,506","376,066","399,572"
