,"Less than
 9th grade",,"9th to 12th 
grade",,High school graduate,,Two-year degree/ Some  college,,"Bachelor's 
degree",,"Advanced 
degree",
All U.S. born,2.381002416,%,6.026520074,%,27.87791299,%,30.96162312,%,20.36130451,%,12.39163688,%
All foreign born,17.10440666,,9.795387653,,22.28082246,,18.80650537,,18.10251331,,13.91036455,
